Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,208,0.0,43391.0,3122.0
,,,,,,,,209,0.0,44338.0,3137.0
,,,,,,,,210,0.0,45652.0,3261.0
,,,,,,,,211,0.0,44748.0,3230.0
,,,,,,,,212,0.0,42883.0,3134.0
,,,,,,,,213,0.0,39644.0,2984.0
,,,,,,,,214,0.0,36097.0,2821.0
,,,,,,,,215,0.0,33530.0,2701.0
,,,,,,,,216,0.0,32022.0,2647.0
,,,,,,,,217,0.0,47630.0,3349.0
,,,,,,,,218,0.0,46887.0,3287.0
,,,,,,,,219,0.0,47959.0,3302.0
,,,,,,,,220,0.0,49801.0,3377.0
,,,,,,,,221,0.0,51932.0,3467.0
,,,,,,,,222,0.0,56197.0,3679.0
,,,,,,,,223,0.0,62042.0,3951.0
,,,,,,,,224,0.0,68850.0,4265.0
,,,,,,,,225,0.0,75152.0,4619.0
,,,,,,,,226,0.0,80343.0,4887.0
,,,,,,,,227,0.0,84553.0,5115.0
,,,,,,,,228,0.0,87069.0,5297.0
,,,,,,,,229,0.0,88057.0,5428.0
,,,,,,,,230,0.0,88086.0,5497.0
,,,,,,,,231,0.0,87685.0,5447.0
,,,,,,,,232,0.0,86248.0,5357.0
,,,,,,,,233,0.0,83180.0,5246.0
,,,,,,,,234,0.0,80567.0,5064.0
,,,,,,,,235,0.0,77898.0,4920.0
,,,,,,,,236,0.0,72185.0,4627.0
,,,,,,,,237,0.0,65807.0,4276.0
,,,,,,,,238,0.0,60284.0,3990.0
,,,,,,,,239,0.0,56387.0,3792.0
,,,,,,,,240,0.0,53384.0,3641.0
