R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
186,UT,11,Geothermal,1,5,7.154,35.77,0,206553,0,None,9.118,0,0,0.141,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
187,UT,11,Natural Gas Fired Combined Cycle,1,1,140,140,0,16291,4.495,mountain_reference_naturalgas,8.666,0,,0.071,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
188,UT,11,Natural Gas Fired Combined Cycle,2,3,588.467,1765.401,0,11391.658,3.531,mountain_reference_naturalgas,7.395,0.111,0.12,0.374,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
189,UT,11,Natural Gas Fired Combustion Turbine,1,3,28.133,84.399,0,11493,11.728,mountain_reference_naturalgas,7.744,1.938,2.238,0.762,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
190,UT,11,Natural Gas Fired Combustion Turbine,2,8,12.012,96.096,0,11493,11.728,mountain_reference_naturalgas,11.413,1.067,0.504,0.541,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
191,UT,11,Natural Gas Fired Combustion Turbine,3,5,41,205,0,9042,11.728,mountain_reference_naturalgas,11.009,0,0,0.488,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
192,UT,11,Natural Gas Fired Combustion Turbine,4,3,40,120,0,9042,11.728,mountain_reference_naturalgas,17.086,0,0,0.25,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
193,UT,11,Natural Gas Fired Combustion Turbine,5,4,5.05,20.2,0,11493,11.728,mountain_reference_naturalgas,17.142,0.637,1.275,0.455,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
194,UT,11,Onshore Wind Turbine,1,5,77.64,1284.9,0,45062,0,None,9.118,0,0,0.007,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
195,UT,11,Small Hydroelectric,1,51,0.722,36.822,0,46475,0,None,9.121,0,0.019,0.15,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
