Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,176,12947,13144,12863,14487,30391,16023
,,,,,,,,177,12277,13822,13571,14252,32622,16644
,,,,,,,,178,12441,15086,14178,14314,34150,17098
,,,,,,,,179,13157,16404,14574,14584,34831,17739
,,,,,,,,180,13968,18772,14842,15500,35435,18142
,,,,,,,,181,15499,21371,15118,16629,36042,18698
,,,,,,,,182,17962,23920,15292,17837,35870,18725
,,,,,,,,183,20533,27624,15251,19170,35965,18936
,,,,,,,,184,21606,30320,15456,21046,36517,19881
,,,,,,,,185,22642,31775,15878,22214,38338,20723
,,,,,,,,186,24278,34071,16600,23287,40223,21241
,,,,,,,,187,26742,37529,17268,24808,42312,22461
,,,,,,,,188,26058,36569,17531,25294,41294,22074
,,,,,,,,189,24198,33958,17091,24249,38480,20796
,,,,,,,,190,22356,31373,16012,22710,35653,19617
,,,,,,,,191,19976,28033,14907,20738,32155,18236
,,,,,,,,192,17349,24347,13611,18626,28664,16616
,,,,,,,,193,14765,20720,12314,16657,24908,14680
,,,,,,,,194,13956,19586,11345,15285,24235,14449
,,,,,,,,195,13520,18974,11230,15060,23939,14445
,,,,,,,,196,13502,18948,11245,15016,24356,14570
,,,,,,,,197,13876,19435,11483,15620,25597,14828
,,,,,,,,198,15393,20609,12066,16464,29010,15680
,,,,,,,,199,17421,22924,13652,18054,34116,17198
,,,,,,,,200,18296,23892,15063,18460,36977,18085
,,,,,,,,201,17707,23365,15511,16866,36691,18188
,,,,,,,,202,17807,23130,15306,16056,35539,17767
,,,,,,,,203,18872,24657,14977,15459,35241,17634
,,,,,,,,204,20104,28386,14957,15926,35383,17819
,,,,,,,,205,21666,30968,14969,16792,35581,18055
,,,,,,,,206,22183,31518,14968,17734,35245,18026
,,,,,,,,207,23046,32366,14941,19031,35550,18437
,,,,,,,,208,24485,34361,15304,21123,37455,19854
,,,,,,,,209,26384,37027,16181,23277,40636,21463
,,,,,,,,210,28824,40451,17402,25330,44600,23130
,,,,,,,,211,28434,39903,18402,26693,43040,22322
,,,,,,,,212,25185,35343,17217,24483,38344,19705
,,,,,,,,213,23725,33294,15680,22015,35889,18591
,,,,,,,,214,21672,30412,14704,20294,33074,17272
,,,,,,,,215,19140,26861,13575,18421,29812,15912
,,,,,,,,216,17204,24143,12551,17008,27364,15135
,,,,,,,,217,15512,21769,11863,15979,25774,14625
,,,,,,,,218,14738,20682,11533,15334,25055,14410
,,,,,,,,219,14444,20270,11364,15050,24793,14400
,,,,,,,,220,14470,20307,11325,14994,25195,14638
,,,,,,,,221,14668,20446,11604,15372,26468,14788
,,,,,,,,222,16255,19967,12270,16270,29725,15628
,,,,,,,,223,18815,21037,13726,17574,34948,16988
,,,,,,,,224,20485,21893,15185,17988,37952,17826
,,,,,,,,225,19705,20693,15637,17065,37475,17848
,,,,,,,,226,19123,19548,15388,16625,36439,17518
,,,,,,,,227,19665,19814,15107,16328,36079,17448
,,,,,,,,228,20050,21459,15095,16744,36302,17533
,,,,,,,,229,20924,23472,15099,17353,36388,17914
,,,,,,,,230,21417,25961,15123,18112,36019,17853
,,,,,,,,231,22313,29960,15115,19172,36304,18172
,,,,,,,,232,24062,33768,15558,21565,38328,19661
,,,,,,,,233,25733,36112,16490,23828,41767,21193
,,,,,,,,234,28057,39375,17747,25961,45736,22827
,,,,,,,,235,28014,39314,18653,27201,44333,21987
,,,,,,,,236,24739,34719,17457,25062,39350,19446
,,,,,,,,237,23336,32748,15872,22674,37100,18342
,,,,,,,,238,21336,29943,14900,21081,34363,17186
,,,,,,,,239,19009,26676,13832,19249,31048,15953
,,,,,,,,240,17128,24038,12818,17597,28658,15109
,,,,,,,,241,15519,21779,12155,16941,27014,14608
,,,,,,,,242,14666,20582,11777,16387,26380,14440
,,,,,,,,243,14255,20004,11660,16161,26094,14405
,,,,,,,,244,14281,20042,11661,16228,26529,14726
,,,,,,,,245,14688,20586,11892,16854,27757,14972
,,,,,,,,246,16239,22231,12609,18315,31192,15713
,,,,,,,,247,19280,26073,14073,20205,36343,16999
,,,,,,,,248,20660,27318,15501,20541,39402,17860
,,,,,,,,249,20260,26699,16012,19319,38900,18175
,,,,,,,,250,19722,25929,15629,18515,37410,17857
,,,,,,,,251,19928,26145,15268,17594,36546,17863
,,,,,,,,252,21141,28107,15192,18211,36300,18063
,,,,,,,,253,22267,29202,15182,19236,35942,18243
,,,,,,,,254,22651,29508,15115,19666,35256,18203
,,,,,,,,255,23452,31546,14998,20223,35217,18494
,,,,,,,,256,24933,34991,15315,21341,36968,19854
,,,,,,,,257,26832,37656,16188,23070,40090,21401
,,,,,,,,258,29173,40939,17393,25021,44515,23035
,,,,,,,,259,29019,40723,18567,26589,43869,22142
,,,,,,,,260,25771,36166,17539,24660,39515,19596
,,,,,,,,261,24289,34086,16084,22262,37366,18576
,,,,,,,,262,22153,31089,15149,20598,34654,17316
,,,,,,,,263,19588,27489,14061,18791,31307,15902
,,,,,,,,264,17543,24619,13037,17192,28894,15042
,,,,,,,,265,15935,22362,12387,16291,27229,14481
,,,,,,,,266,15063,21139,12046,15687,26538,14224
,,,,,,,,267,14614,20509,11934,15490,26247,14226
,,,,,,,,268,14606,20497,11979,15621,26596,14600
,,,,,,,,269,14985,21029,12194,16059,27708,14786
,,,,,,,,270,16646,23194,12809,17171,30927,15665
,,,,,,,,271,19316,26875,14296,18808,35862,17193
,,,,,,,,272,20945,28596,15615,18981,38730,18055
,,,,,,,,273,20812,28304,16028,17287,38345,18146
,,,,,,,,274,20020,27807,15764,16203,37271,17704
,,,,,,,,275,19543,28077,15406,16077,36917,17695
,,,,,,,,276,19843,28865,15304,15631,37234,17846
,,,,,,,,277,20080,29341,15379,17278,37301,18017
,,,,,,,,278,20884,29719,15309,18730,36826,18020
,,,,,,,,279,22379,31230,15227,18687,37058,18210
,,,,,,,,280,24119,33847,15610,20906,39026,19497
,,,,,,,,281,25881,36320,16543,22880,42204,21039
,,,,,,,,282,28113,39453,17690,24907,45881,22663
,,,,,,,,283,27959,39236,18642,26402,43890,22063
,,,,,,,,284,24634,34571,17419,24454,38879,19632
,,,,,,,,285,23202,32560,15867,22122,36303,18599
,,,,,,,,286,21355,29969,14822,20493,33448,17389
,,,,,,,,287,19109,26817,13731,18608,30173,16032
,,,,,,,,288,17250,24208,12713,17111,27753,15195
,,,,,,,,289,15697,22029,12059,16080,25795,14606
,,,,,,,,290,14886,20891,11664,15474,24934,14417
,,,,,,,,291,14439,20262,11476,15210,24485,14358
,,,,,,,,292,14304,20073,11417,15291,24702,14597
,,,,,,,,293,14553,20411,11618,15825,25731,14646
,,,,,,,,294,16075,22040,12188,16844,28647,15496
,,,,,,,,295,18398,24806,13477,18176,33244,16899
,,,,,,,,296,20296,26515,14732,18460,36187,17699
,,,,,,,,297,20086,26379,15245,17440,36161,17849
,,,,,,,,298,19780,24776,15093,16315,35328,17557
,,,,,,,,299,20015,24182,14851,15574,34993,17536
,,,,,,,,300,20692,25010,14788,15953,35116,17719
,,,,,,,,301,21210,26308,14755,16591,35059,17937
,,,,,,,,302,21486,28032,14633,17310,34742,17829
,,,,,,,,303,22107,30326,14546,18508,35365,18043
,,,,,,,,304,23684,33237,14922,20601,37643,19192
,,,,,,,,305,25347,35570,15799,22594,40718,20697
,,,,,,,,306,27394,38443,16897,24556,44297,22251
,,,,,,,,307,27058,37971,17773,25837,42120,21512
,,,,,,,,308,23649,33188,16492,23685,37045,18956
,,,,,,,,309,22173,31116,14975,21327,34654,17999
,,,,,,,,310,20508,28779,14107,19936,32290,16969
,,,,,,,,311,18504,25967,13224,18668,29601,15787
,,,,,,,,312,16910,23731,12394,17182,27581,14959
,,,,,,,,313,16091,22581,11923,16452,27319,14943
,,,,,,,,314,14828,20809,11897,16004,26004,14334
,,,,,,,,315,14302,20071,11567,15519,25839,14491
,,,,,,,,316,13983,19624,11572,15565,25872,14680
,,,,,,,,317,13762,19199,11618,15587,26128,14645
,,,,,,,,318,13244,17495,11907,15780,27774,15115
,,,,,,,,319,12354,15762,12529,15518,30181,15592
,,,,,,,,320,11956,15113,13163,15674,32376,15885
,,,,,,,,321,11374,15441,13735,15349,34712,16339
,,,,,,,,322,11701,16353,14358,15122,36354,16840
,,,,,,,,323,12475,17469,14789,15083,37442,17249
,,,,,,,,324,14406,19694,15107,15733,38534,17577
,,,,,,,,325,16872,22103,15411,16712,39240,18045
,,,,,,,,326,18976,24452,15547,17710,38958,17966
,,,,,,,,327,20714,27696,15439,18878,38897,17857
,,,,,,,,328,21650,30356,15521,20431,39227,18172
,,,,,,,,329,22446,31500,15831,21428,40473,18878
,,,,,,,,330,23707,33268,16425,22227,41544,19410
,,,,,,,,331,26244,36830,17112,23469,43350,20604
,,,,,,,,332,25624,35959,17455,24105,42065,20384
,,,,,,,,333,23979,33650,16935,23299,39300,19391
,,,,,,,,334,22276,31262,15975,21814,36833,18634
,,,,,,,,335,19875,27892,15048,20206,33589,17267
,,,,,,,,336,17482,24533,13887,18630,30389,15889
,,,,,,,,337,17322,24309,10972,17330,22365,13533
,,,,,,,,338,15822,22204,10196,15870,20824,12531
,,,,,,,,339,15369,21568,9780,15057,20495,12214
,,,,,,,,340,14585,20465,9761,14736,20335,11876
,,,,,,,,341,13186,18461,9702,14218,20414,11663
,,,,,,,,342,11758,16585,9746,13313,21215,11905
,,,,,,,,343,10042,14379,10092,12782,22634,12174
,,,,,,,,344,10190,14707,10645,12893,24647,12691
,,,,,,,,345,11121,15930,11105,13531,27117,13471
,,,,,,,,346,12270,17663,11910,14771,29091,14895
,,,,,,,,347,13514,19414,12404,16306,30438,15809
,,,,,,,,348,15459,22087,12984,17878,31730,16601
,,,,,,,,349,17473,24897,13387,19793,32658,17605
,,,,,,,,350,19224,27360,13649,21428,32568,17816
,,,,,,,,351,20853,29724,13690,22982,32461,18164
,,,,,,,,352,22756,32547,13809,24655,32762,18312
,,,,,,,,353,24660,34984,13991,26124,33749,18811
,,,,,,,,354,25056,35163,14135,26423,33311,18442
,,,,,,,,355,26126,36665,14127,25849,34600,19206
,,,,,,,,356,25895,36340,14465,25994,34193,18987
,,,,,,,,357,25700,36066,14377,25459,32853,18399
,,,,,,,,358,24346,34166,13696,23346,30682,17431
,,,,,,,,359,21961,30819,12631,21310,27634,16018
,,,,,,,,360,19347,27152,11434,19172,24366,14382
,,,,,,,,361,16409,23027,10285,17074,20845,12326
,,,,,,,,362,15607,21902,9287,15277,20046,11944
,,,,,,,,363,14967,21003,9080,14767,19643,11678
,,,,,,,,364,14485,20326,9018,14417,19762,11665
,,,,,,,,365,13333,18797,9194,14111,20104,11605
,,,,,,,,366,12104,17606,9319,13294,21124,11917
,,,,,,,,367,11140,16548,9780,13089,23123,12617
