R_ID,Zone_name,Zone,Resource,Cluster,New_Build,Num_Units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,capex,Inv_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,Min_Duration,Max_Duration,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
84,WECC_N,3,new_onshore_wind,WECC_N_5,1,0,0,0,0,74754.1167,328200,36568,0,0,8205,0,0,None,0,0,0,0,1,1,0,0,0,0,0,0.92,0.92,1,10,0,0,0,2,0,0,1
85,WECC_N,3,new_utility_pv,WECC_N_0,1,0,0,0,0,519406.062,5912426.309,480678.343,0,0,100888,0,2.3,rockies_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
86,WECC_N,3,new_utility_pv,WECC_N_1,1,0,0,0,0,519406.062,1989354.76,166734,0,0,43290,0,7.7,rockies_naturalgas_ccs100,7.86,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
87,WECC_N,3,new_utility_pv,WECC_N_2,1,0,0,0,0,519406.062,1873354.76,181653,0,0,33620,0,7.2,pacific_naturalgas_ccs90,7.49,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
88,WECC_N,3,new_utility_pv,WECC_N_3,1,0,0,0,0,519406.062,1152631.419,153765.132,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
89,WECC_N,3,new_utility_pv,WECC_N_4,1,0,0,0,0,519406.062,1660381.746,440715.005,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
90,WECC_N,3,new_utility_pv,WECC_N_5,1,0,0,0,0,519406.062,1660381.746,454548.008,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
91,WECC_N,3,new_utility_pv,WECC_N_6,1,0,0,0,0,519406.062,1660381.746,460041.197,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
92,WECC_N,3,new_utility_pv,WECC_N_7,1,0,0,0,0,519406.062,785075.416,84491.084,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
93,WECC_N,3,battery,1,-1,14,88.2,1235.1,0,-1,1152631.419,120509.642,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
