,ev_load_shifting_z1,ev_load_shifting_z2,ev_load_shifting_z3,ev_load_shifting_z4,ev_load_shifting_z5,ev_load_shifting_z6
1155,0.172,0.128,0.137,0.099,0.149,0.145
1156,0.182,0.101,0.143,0.102,0.154,0.133
1157,0.173,0.1,0.139,0.106,0.142,0.139
1158,0.189,0.101,0.201,0.159,0.157,0.261
1159,0.368,0.168,0.3,0.27,0.274,0.407
1160,0.547,0.284,0.427,0.394,0.407,0.561
1161,0.718,0.41,0.558,0.506,0.525,0.711
1162,0.859,0.525,0.643,0.566,0.628,0.701
1163,0.826,0.565,0.665,0.578,0.622,0.729
1164,0.851,0.583,0.676,0.588,0.636,0.756
1165,0.867,0.592,0.68,0.586,0.649,0.739
1166,0.823,0.585,0.652,0.558,0.623,0.677
1167,0.757,0.552,0.611,0.526,0.58,0.662
1168,0.727,0.523,0.592,0.507,0.56,0.644
1169,0.711,0.505,0.553,0.461,0.545,0.578
1170,0.668,0.45,0.558,0.482,0.499,0.716
1171,0.804,0.501,0.637,0.546,0.624,0.717
1172,0.805,0.547,0.641,0.55,0.627,0.744
1173,0.808,0.557,0.633,0.529,0.623,0.654
1174,0.704,0.523,0.514,0.447,0.536,0.49
1175,0.535,0.428,0.41,0.361,0.433,0.427
1176,0.468,0.357,0.342,0.301,0.379,0.314
1177,0.424,0.391,0.504,0.333,0.363,0.429
1178,0.341,0.317,0.437,0.264,0.275,0.379
1179,0.302,0.256,0.404,0.227,0.237,0.354
1180,0.285,0.222,0.387,0.205,0.218,0.335
1181,0.276,0.2,0.378,0.207,0.208,0.351
1182,0.295,0.202,0.423,0.278,0.23,0.43
1183,0.387,0.286,0.503,0.38,0.32,0.558
1184,0.53,0.397,0.611,0.494,0.439,0.624
1185,0.606,0.501,0.697,0.6,0.499,0.76
1186,0.737,0.62,0.797,0.704,0.612,0.8
1187,0.756,0.712,0.83,0.746,0.645,0.826
1188,0.765,0.751,0.856,0.785,0.672,0.876
1189,0.79,0.797,0.884,0.808,0.712,0.837
1190,0.746,0.806,0.879,0.796,0.693,0.833
1191,0.73,0.795,0.899,0.817,0.703,0.894
1192,0.78,0.829,0.952,0.833,0.765,0.897
1193,0.796,0.851,0.904,0.734,0.789,0.836
1194,0.74,0.714,0.876,0.675,0.676,0.839
1195,0.762,0.676,0.87,0.666,0.697,0.853
1196,0.768,0.665,0.872,0.649,0.694,0.866
1197,0.759,0.653,0.846,0.614,0.683,0.818
1198,0.701,0.607,0.781,0.572,0.632,0.796
1199,0.656,0.574,0.703,0.501,0.587,0.621
1200,0.494,0.475,0.56,0.374,0.432,0.453
1201,0.372,0.351,0.449,0.288,0.322,0.384
1202,0.318,0.276,0.4,0.24,0.268,0.339
1203,0.286,0.232,0.371,0.212,0.237,0.323
1204,0.281,0.206,0.366,0.204,0.228,0.33
1205,0.297,0.203,0.377,0.228,0.238,0.342
1206,0.332,0.218,0.451,0.332,0.275,0.543
1207,0.539,0.362,0.584,0.463,0.461,0.604
1208,0.609,0.472,0.635,0.514,0.53,0.616
1209,0.623,0.519,0.661,0.552,0.562,0.628
1210,0.633,0.557,0.695,0.595,0.59,0.646
1211,0.642,0.602,0.724,0.63,0.624,0.669
1212,0.658,0.635,0.751,0.654,0.659,0.664
1213,0.644,0.654,0.76,0.667,0.669,0.683
1214,0.652,0.67,0.782,0.692,0.699,0.685
1215,0.658,0.694,0.814,0.727,0.73,0.744
1216,0.715,0.738,0.865,0.76,0.805,0.758
1217,0.747,0.778,0.817,0.698,0.848,0.733
1218,0.715,0.678,0.813,0.665,0.714,0.723
1219,0.698,0.659,0.786,0.63,0.685,0.702
1220,0.669,0.623,0.763,0.596,0.636,0.712
1221,0.66,0.596,0.74,0.564,0.628,0.717
1222,0.632,0.567,0.693,0.532,0.606,0.662
1223,0.565,0.527,0.622,0.463,0.535,0.584
1224,0.481,0.452,0.543,0.376,0.441,0.465
1225,0.382,0.357,0.457,0.291,0.336,0.393
1226,0.326,0.281,0.407,0.243,0.283,0.348
1227,0.294,0.235,0.378,0.213,0.248,0.33
1228,0.287,0.209,0.374,0.206,0.235,0.338
1229,0.304,0.205,0.386,0.229,0.244,0.35
1230,0.338,0.219,0.456,0.333,0.281,0.548
1231,0.543,0.362,0.584,0.469,0.476,0.605
1232,0.612,0.477,0.634,0.521,0.548,0.614
1233,0.622,0.521,0.656,0.554,0.58,0.632
1234,0.631,0.551,0.68,0.592,0.611,0.655
1235,0.641,0.598,0.703,0.628,0.647,0.682
1236,0.653,0.63,0.725,0.655,0.677,0.677
1237,0.641,0.652,0.734,0.668,0.686,0.692
1238,0.647,0.667,0.752,0.69,0.713,0.692
1239,0.656,0.689,0.785,0.722,0.744,0.755
1240,0.716,0.732,0.84,0.749,0.817,0.811
1241,0.751,0.766,0.794,0.678,0.862,0.787
1242,0.72,0.666,0.795,0.648,0.722,0.773
1243,0.7,0.646,0.774,0.617,0.693,0.743
1244,0.669,0.615,0.752,0.588,0.642,0.75
1245,0.66,0.592,0.731,0.56,0.633,0.74
1246,0.635,0.563,0.687,0.528,0.608,0.677
1247,0.57,0.524,0.617,0.46,0.541,0.591
1248,0.482,0.451,0.533,0.376,0.444,0.455
1249,0.375,0.359,0.443,0.288,0.333,0.38
1250,0.319,0.279,0.395,0.242,0.276,0.344
1251,0.293,0.237,0.372,0.216,0.247,0.322
1252,0.283,0.212,0.364,0.207,0.236,0.33
1253,0.302,0.206,0.38,0.233,0.247,0.352
1254,0.342,0.225,0.453,0.349,0.29,0.547
1255,0.546,0.376,0.577,0.474,0.481,0.589
1256,0.596,0.48,0.617,0.517,0.537,0.593
1257,0.592,0.516,0.631,0.543,0.559,0.596
1258,0.591,0.54,0.653,0.586,0.584,0.649
1259,0.622,0.593,0.684,0.621,0.639,0.664
1260,0.629,0.625,0.7,0.64,0.665,0.662
1261,0.623,0.64,0.712,0.66,0.674,0.672
1262,0.633,0.665,0.74,0.693,0.702,0.673
1263,0.645,0.696,0.77,0.73,0.736,0.714
1264,0.686,0.738,0.815,0.759,0.797,0.752
1265,0.73,0.78,0.782,0.7,0.852,0.73
1266,0.708,0.687,0.789,0.672,0.716,0.708
1267,0.684,0.67,0.76,0.631,0.684,0.654
1268,0.63,0.623,0.724,0.595,0.613,0.69
1269,0.641,0.601,0.712,0.573,0.622,0.675
1270,0.61,0.573,0.663,0.52,0.591,0.61
1271,0.539,0.513,0.591,0.448,0.515,0.541
1272,0.463,0.44,0.518,0.372,0.432,0.44
1273,0.372,0.358,0.441,0.296,0.337,0.37
1274,0.317,0.286,0.394,0.249,0.28,0.335
1275,0.291,0.244,0.369,0.224,0.25,0.313
1276,0.28,0.218,0.361,0.213,0.236,0.321
1277,0.298,0.212,0.376,0.237,0.247,0.344
1278,0.34,0.228,0.451,0.35,0.287,0.542
1279,0.539,0.378,0.57,0.477,0.481,0.582
1280,0.591,0.485,0.609,0.517,0.538,0.581
1281,0.586,0.52,0.625,0.547,0.56,0.58
1282,0.585,0.548,0.651,0.599,0.586,0.623
1283,0.617,0.606,0.685,0.645,0.644,0.636
1284,0.625,0.649,0.699,0.67,0.67,0.621
1285,0.614,0.672,0.71,0.696,0.681,0.64
1286,0.623,0.702,0.738,0.732,0.711,0.66
1287,0.633,0.737,0.765,0.771,0.744,0.709
1288,0.673,0.781,0.808,0.803,0.804,0.751
1289,0.715,0.827,0.782,0.738,0.858,0.732
1290,0.7,0.725,0.785,0.709,0.72,0.71
1291,0.672,0.707,0.753,0.667,0.686,0.653
1292,0.618,0.655,0.717,0.624,0.614,0.685
1293,0.631,0.627,0.702,0.598,0.624,0.673
1294,0.6,0.596,0.654,0.541,0.591,0.61
1295,0.536,0.533,0.586,0.468,0.517,0.537
1296,0.46,0.458,0.51,0.389,0.433,0.431
1297,0.373,0.373,0.432,0.309,0.334,0.366
1298,0.317,0.298,0.385,0.259,0.277,0.334
1299,0.29,0.253,0.362,0.232,0.248,0.311
1300,0.28,0.227,0.355,0.222,0.235,0.318
1301,0.299,0.22,0.371,0.243,0.246,0.344
1302,0.339,0.235,0.442,0.355,0.288,0.531
1303,0.541,0.383,0.561,0.481,0.476,0.567
1304,0.598,0.488,0.595,0.525,0.529,0.562
1305,0.6,0.529,0.607,0.556,0.546,0.568
1306,0.602,0.558,0.63,0.607,0.566,0.612
1307,0.63,0.618,0.66,0.654,0.619,0.624
1308,0.64,0.657,0.674,0.681,0.642,0.621
1309,0.637,0.683,0.683,0.708,0.649,0.64
1310,0.654,0.713,0.706,0.747,0.672,0.658
1311,0.67,0.752,0.733,0.784,0.701,0.71
1312,0.717,0.795,0.778,0.815,0.755,0.754
1313,0.757,0.837,0.753,0.748,0.804,0.739
1314,0.717,0.732,0.755,0.717,0.684,0.714
1315,0.691,0.712,0.722,0.675,0.647,0.646
1316,0.636,0.663,0.687,0.633,0.58,0.667
1317,0.644,0.636,0.678,0.606,0.594,0.646
1318,0.615,0.604,0.635,0.551,0.565,0.582
1319,0.547,0.543,0.571,0.478,0.498,0.516
1320,0.475,0.468,0.515,0.405,0.425,0.467
1321,0.418,0.396,0.476,0.338,0.355,0.375
1322,0.338,0.323,0.417,0.274,0.273,0.352
1323,0.313,0.268,0.396,0.247,0.248,0.34
1324,0.301,0.244,0.388,0.232,0.235,0.326
1325,0.292,0.228,0.378,0.231,0.223,0.333
1326,0.306,0.221,0.424,0.314,0.243,0.47
1327,0.452,0.335,0.515,0.417,0.385,0.495
1328,0.513,0.42,0.565,0.492,0.426,0.548
1329,0.591,0.498,0.643,0.598,0.496,0.672
1330,0.742,0.619,0.752,0.725,0.63,0.739
1331,0.804,0.74,0.801,0.787,0.694,0.745
1332,0.82,0.79,0.83,0.826,0.718,0.776
1333,0.857,0.836,0.857,0.856,0.756,0.74
1334,0.838,0.856,0.848,0.857,0.736,0.723
1335,0.834,0.856,0.86,0.875,0.735,0.736
1336,0.858,0.878,0.892,0.894,0.757,0.789
1337,0.894,0.917,0.865,0.818,0.798,0.769
1338,0.781,0.797,0.858,0.78,0.655,0.791
1339,0.81,0.777,0.854,0.763,0.675,0.809
1340,0.826,0.761,0.853,0.737,0.682,0.794
