Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,178,7684,8417,11583,14145,25827,13370
,,,,,,,,179,7870,8990,11419,13915,25581,13214
,,,,,,,,180,7586,9817,11257,13941,24982,13114
,,,,,,,,181,8305,11277,11105,14222,24527,13011
,,,,,,,,182,10515,13473,10976,14897,24125,12980
,,,,,,,,183,12751,16706,10971,16102,23873,13460
,,,,,,,,184,13462,18892,11114,17782,23972,13735
,,,,,,,,185,13857,19447,11530,18908,24765,14405
,,,,,,,,186,15183,21308,12117,20428,26406,14943
,,,,,,,,187,16360,22958,12270,20877,27220,14788
,,,,,,,,188,16233,22781,12151,20533,26948,14480
,,,,,,,,189,15775,22138,11765,19948,26219,13976
,,,,,,,,190,15040,21107,11201,18840,24892,13349
,,,,,,,,191,14042,19706,10563,17737,23159,12662
,,,,,,,,192,12960,18188,10085,16965,21629,12296
,,,,,,,,193,12001,16842,9881,16561,20625,12183
,,,,,,,,194,11526,16176,9817,16457,20238,12282
,,,,,,,,195,11319,15885,9863,16501,20148,12364
,,,,,,,,196,11321,15888,10041,17043,20469,12662
,,,,,,,,197,11683,16358,10494,18193,21590,13180
,,,,,,,,198,12562,16637,11608,19473,24065,14021
,,,,,,,,199,13276,17110,12578,18634,27284,14238
,,,,,,,,200,12844,16245,12764,16835,28800,14225
,,,,,,,,201,12201,15641,12643,15952,28440,14021
,,,,,,,,202,12582,15803,12436,15303,27847,13806
,,,,,,,,203,13477,17091,12273,14941,27395,13655
,,,,,,,,204,13950,19750,12047,14858,26844,13559
,,,,,,,,205,15083,21729,11912,15168,26526,13509
,,,,,,,,206,15567,22233,11804,15779,26222,13513
,,,,,,,,207,15898,22334,11722,16865,25925,13735
,,,,,,,,208,15956,22393,11735,18388,25920,13968
,,,,,,,,209,16102,22598,12030,19337,26513,14476
,,,,,,,,210,17093,23988,12682,20819,28072,14971
,,,,,,,,211,18221,25571,12848,21176,28839,14802
,,,,,,,,212,18078,25369,12705,20933,28536,14463
,,,,,,,,213,17592,24687,12317,20255,27732,13823
,,,,,,,,214,16652,23369,11610,19034,26220,13044
,,,,,,,,215,15170,21289,10880,17889,24182,12488
,,,,,,,,216,13812,19383,10335,17017,22362,12283
,,,,,,,,217,12796,17957,10091,16615,21327,12167
,,,,,,,,218,12320,17290,9977,16428,20838,12259
,,,,,,,,219,12203,17125,9979,16445,20765,12427
,,,,,,,,220,12226,17157,10200,16815,21068,12619
,,,,,,,,221,12438,17316,10718,18033,22211,13127
,,,,,,,,222,13351,15899,11770,19322,24543,13876
,,,,,,,,223,14550,15064,12753,18441,27943,14054
,,,,,,,,224,14883,14049,12909,16933,29496,13975
,,,,,,,,225,14174,12947,12718,16322,28975,13848
,,,,,,,,226,13964,12326,12530,16017,28481,13676
,,,,,,,,227,14404,12450,12357,15857,28000,13439
,,,,,,,,228,14107,13135,12134,15644,27513,13457
,,,,,,,,229,14520,14499,11992,15629,27106,13386
,,,,,,,,230,14933,16871,11896,16030,26768,13335
,,,,,,,,231,15284,20099,11858,17075,26444,13598
,,,,,,,,232,15626,21929,11904,18766,26517,13762
,,,,,,,,233,15649,21962,12227,19760,27294,14253
,,,,,,,,234,16590,23281,12827,21126,28842,14738
,,,,,,,,235,17947,25186,12992,21543,29779,14607
,,,,,,,,236,17746,24905,12820,21392,29301,14277
,,,,,,,,237,17293,24269,12441,20849,28668,13754
,,,,,,,,238,16382,22989,11794,19712,27248,13084
,,,,,,,,239,15094,21182,11091,18516,25162,12478
,,,,,,,,240,13824,19400,10566,17831,23353,12224
,,,,,,,,241,12913,18122,10312,17525,22352,12146
,,,,,,,,242,12371,17361,10236,17407,21946,12210
,,,,,,,,243,12110,16996,10267,17512,21870,12441
,,,,,,,,244,12081,16955,10438,18059,22195,12708
,,,,,,,,245,12440,17433,10984,19312,23308,13137
,,,,,,,,246,13273,18071,12027,20861,25790,13823
,,,,,,,,247,14467,19321,12997,20242,29134,14027
,,,,,,,,248,14913,19257,13191,18846,30689,14180
,,,,,,,,249,14600,18760,12911,17718,30138,14070
,,,,,,,,250,14541,18664,12668,17047,29268,13965
,,,,,,,,251,14787,18935,12451,16891,28346,13824
,,,,,,,,252,15173,19736,12226,17485,27466,13688
,,,,,,,,253,15751,20061,12038,17631,26716,13633
,,,,,,,,254,16016,20203,11844,17799,26135,13555
,,,,,,,,255,16186,21353,11729,18231,25573,13735
,,,,,,,,256,16241,22791,11731,18552,25470,13930
,,,,,,,,257,16378,22983,12030,19168,26052,14435
