Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,150,15719.0,24481.0,17931.0,26683.0,28980.0,17465.0
,,,,,,,,151,16191.0,25230.0,18580.0,27817.0,32268.0,17456.0
,,,,,,,,152,17070.0,26593.0,19292.0,29014.0,34668.0,18474.0
,,,,,,,,153,18365.0,28607.0,20463.0,30590.0,38212.0,19816.0
,,,,,,,,154,19965.0,31104.0,21752.0,32198.0,41672.0,20983.0
,,,,,,,,155,21242.0,33102.0,22836.0,34211.0,43928.0,22525.0
,,,,,,,,156,22492.0,35054.0,24166.0,36085.0,45647.0,24389.0
,,,,,,,,157,23715.0,36968.0,25196.0,37572.0,47932.0,24628.0
,,,,,,,,158,23845.0,37173.0,25330.0,37471.0,47683.0,24497.0
,,,,,,,,159,22395.0,34897.0,24835.0,36759.0,47109.0,24104.0
,,,,,,,,160,21116.0,32893.0,25063.0,37920.0,47470.0,25320.0
,,,,,,,,161,21958.0,34213.0,25687.0,38216.0,49460.0,24361.0
,,,,,,,,162,21456.0,33435.0,25887.0,39389.0,48545.0,27067.0
,,,,,,,,163,25100.0,39126.0,27934.0,41980.0,53427.0,26996.0
,,,,,,,,164,24265.0,37819.0,27272.0,40345.0,52495.0,25016.0
,,,,,,,,165,23437.0,36528.0,25156.0,37037.0,48688.0,22869.0
,,,,,,,,166,20280.0,31594.0,22944.0,33790.0,44341.0,20387.0
,,,,,,,,167,17878.0,27841.0,20572.0,30237.0,39607.0,18077.0
,,,,,,,,168,14828.0,23079.0,18521.0,27380.0,34455.0,16053.0
,,,,,,,,169,14750.0,22983.0,15805.0,24929.0,25470.0,14317.0
,,,,,,,,170,14728.0,22960.0,15234.0,24521.0,24020.0,14394.0
,,,,,,,,171,15368.0,23964.0,15299.0,24293.0,24593.0,14186.0
,,,,,,,,172,15102.0,23551.0,15290.0,24136.0,24707.0,14078.0
,,,,,,,,173,14913.0,23258.0,15466.0,24317.0,24880.0,14562.0
,,,,,,,,174,15349.0,23936.0,16070.0,24668.0,26512.0,15033.0
,,,,,,,,175,15441.0,24086.0,16918.0,25499.0,28990.0,15211.0
,,,,,,,,176,15973.0,24905.0,17767.0,26672.0,31922.0,16210.0
,,,,,,,,177,17245.0,26883.0,18806.0,28465.0,34492.0,17849.0
,,,,,,,,178,18732.0,29200.0,20106.0,30463.0,37040.0,19182.0
,,,,,,,,179,19824.0,30906.0,21235.0,32512.0,38581.0,20606.0
,,,,,,,,180,21113.0,32914.0,22393.0,34390.0,39827.0,22466.0
,,,,,,,,181,22122.0,34492.0,23439.0,35919.0,41704.0,23067.0
,,,,,,,,182,22201.0,34614.0,23300.0,35161.0,41201.0,23037.0
,,,,,,,,183,18479.0,28775.0,23141.0,35452.0,40516.0,24456.0
,,,,,,,,184,18728.0,29164.0,23691.0,36533.0,40744.0,24785.0
,,,,,,,,185,19831.0,30892.0,24291.0,37275.0,42777.0,24289.0
,,,,,,,,186,19415.0,30249.0,24151.0,38348.0,42037.0,25493.0
,,,,,,,,187,21024.0,32768.0,25634.0,40493.0,45574.0,25690.0
,,,,,,,,188,22282.0,34726.0,25613.0,39258.0,46205.0,24616.0
,,,,,,,,189,21787.0,33947.0,23277.0,35902.0,42647.0,22933.0
,,,,,,,,190,19173.0,29866.0,20627.0,32222.0,37622.0,19747.0
,,,,,,,,191,16812.0,26180.0,18330.0,28605.0,32583.0,17949.0
,,,,,,,,192,15116.0,23546.0,16098.0,25030.0,27923.0,13600.0
,,,,,,,,193,12937.0,20184.0,13644.0,22197.0,22738.0,13367.0
,,,,,,,,194,13755.0,21473.0,13934.0,22532.0,22454.0,13279.0
,,,,,,,,195,14250.0,22256.0,13939.0,22513.0,22573.0,13586.0
,,,,,,,,196,14347.0,22406.0,14502.0,23426.0,23578.0,13850.0
,,,,,,,,197,14635.0,22854.0,15909.0,24898.0,25547.0,15633.0
,,,,,,,,198,16066.0,25088.0,18029.0,26399.0,29875.0,17928.0
,,,,,,,,199,18070.0,28225.0,19739.0,28688.0,36122.0,19377.0
,,,,,,,,200,20229.0,31589.0,20611.0,30395.0,39979.0,19299.0
,,,,,,,,201,20683.0,32287.0,20498.0,30658.0,39518.0,18732.0
,,,,,,,,202,20750.0,32378.0,20239.0,30875.0,37902.0,19138.0
,,,,,,,,203,21498.0,33542.0,20788.0,32107.0,38564.0,19961.0
,,,,,,,,204,22577.0,35221.0,21587.0,33786.0,39640.0,20680.0
,,,,,,,,205,23168.0,36146.0,22006.0,34725.0,40166.0,20853.0
,,,,,,,,206,23202.0,36199.0,21581.0,34156.0,39882.0,20753.0
,,,,,,,,207,20236.0,31543.0,22135.0,36246.0,40639.0,22955.0
,,,,,,,,208,22551.0,35168.0,24798.0,40116.0,45378.0,26326.0
,,,,,,,,209,24932.0,38900.0,27295.0,43486.0,50775.0,28504.0
,,,,,,,,210,26187.0,40877.0,27805.0,43564.0,54396.0,24800.0
,,,,,,,,211,22934.0,35797.0,24661.0,39463.0,48566.0,19440.0
,,,,,,,,212,20230.0,31568.0,21096.0,33381.0,40300.0,18277.0
,,,,,,,,213,19571.0,30543.0,18910.0,30661.0,37814.0,16081.0
,,,,,,,,214,16802.0,26214.0,16940.0,27930.0,32981.0,14092.0
,,,,,,,,215,14418.0,22490.0,15350.0,24348.0,29257.0,13389.0
,,,,,,,,216,12597.0,19641.0,14783.0,22956.0,26708.0,13006.0
,,,,,,,,217,13052.0,20351.0,14568.0,22764.0,24676.0,13144.0
,,,,,,,,218,14348.0,22385.0,14398.0,23031.0,24210.0,13405.0
,,,,,,,,219,14736.0,23003.0,14319.0,22883.0,24364.0,13619.0
,,,,,,,,220,14737.0,23005.0,14810.0,23569.0,25483.0,13865.0
,,,,,,,,221,14913.0,23279.0,16124.0,24760.0,27515.0,15328.0
,,,,,,,,222,16154.0,25215.0,18412.0,26588.0,32368.0,17447.0
,,,,,,,,223,18155.0,28350.0,20191.0,28731.0,39016.0,18836.0
,,,,,,,,224,20325.0,31732.0,20992.0,30421.0,42139.0,18583.0
,,,,,,,,225,20889.0,32603.0,20742.0,31122.0,41036.0,18153.0
,,,,,,,,226,21043.0,32831.0,20435.0,31540.0,38895.0,18410.0
,,,,,,,,227,22024.0,34357.0,20865.0,33058.0,39321.0,19341.0
,,,,,,,,228,23242.0,36257.0,21580.0,34737.0,40054.0,20357.0
,,,,,,,,229,23889.0,37270.0,21973.0,35956.0,40777.0,20761.0
,,,,,,,,230,24064.0,37542.0,21792.0,35763.0,40528.0,20756.0
,,,,,,,,231,22069.0,34409.0,22578.0,37939.0,40986.0,23096.0
,,,,,,,,232,23237.0,36235.0,25077.0,41816.0,45215.0,26124.0
,,,,,,,,233,25631.0,39988.0,27442.0,44858.0,51243.0,28570.0
,,,,,,,,234,26466.0,41308.0,28084.0,44436.0,55594.0,24446.0
,,,,,,,,235,23025.0,35935.0,24806.0,39946.0,49738.0,19445.0
,,,,,,,,236,20267.0,31624.0,21190.0,33912.0,41551.0,18791.0
,,,,,,,,237,19899.0,31053.0,18959.0,30887.0,38800.0,16671.0
,,,,,,,,238,17667.0,27568.0,16796.0,27341.0,34145.0,14761.0
,,,,,,,,239,14842.0,23151.0,15208.0,24896.0,29718.0,13782.0
,,,,,,,,240,13400.0,20896.0,14565.0,23407.0,27252.0,12925.0
,,,,,,,,241,13067.0,20375.0,14320.0,23095.0,25075.0,12861.0
,,,,,,,,242,14321.0,22342.0,14409.0,23360.0,24518.0,12746.0
,,,,,,,,243,14771.0,23054.0,14229.0,23073.0,24325.0,13064.0
,,,,,,,,244,14786.0,23077.0,14702.0,23661.0,25197.0,13322.0
,,,,,,,,245,14949.0,23327.0,15906.0,24864.0,27102.0,14955.0
,,,,,,,,246,16201.0,25279.0,18047.0,26603.0,31489.0,17153.0
,,,,,,,,247,18169.0,28362.0,19907.0,28906.0,37879.0,18746.0
,,,,,,,,248,20261.0,31628.0,20692.0,30695.0,41225.0,18496.0
,,,,,,,,249,20996.0,32767.0,20634.0,31492.0,40236.0,18073.0
,,,,,,,,250,21188.0,33058.0,20418.0,32172.0,37985.0,18580.0
,,,,,,,,251,22227.0,34673.0,20844.0,33953.0,38410.0,19615.0
,,,,,,,,252,23393.0,36492.0,21553.0,35931.0,39076.0,20416.0
,,,,,,,,253,24021.0,37475.0,21855.0,37273.0,39581.0,20564.0
,,,,,,,,254,24452.0,38146.0,21815.0,37250.0,39213.0,21239.0
,,,,,,,,255,21138.0,32948.0,22663.0,39570.0,39910.0,23826.0
,,,,,,,,256,23123.0,36056.0,24815.0,43133.0,43331.0,27125.0
,,,,,,,,257,25789.0,40235.0,27045.0,45921.0,47786.0,29142.0
,,,,,,,,258,26698.0,41671.0,27639.0,45367.0,51374.0,24782.0
,,,,,,,,259,22890.0,35722.0,24177.0,40312.0,45749.0,19360.0
,,,,,,,,260,19913.0,31069.0,20905.0,34486.0,38810.0,18136.0
,,,,,,,,261,19356.0,30202.0,19003.0,31285.0,36109.0,16805.0
,,,,,,,,262,16375.0,25542.0,17239.0,28180.0,31540.0,14890.0
,,,,,,,,263,14093.0,21977.0,15468.0,25527.0,28048.0,13998.0
,,,,,,,,264,12546.0,19557.0,14674.0,24615.0,25960.0,13036.0
,,,,,,,,265,14282.0,22276.0,14359.0,23707.0,23950.0,12824.0
,,,,,,,,266,14677.0,22898.0,14344.0,23769.0,23676.0,12631.0
,,,,,,,,267,14845.0,23167.0,14219.0,23410.0,23966.0,12860.0
,,,,,,,,268,14859.0,23187.0,14581.0,23953.0,24981.0,13031.0
,,,,,,,,269,14985.0,23380.0,15879.0,25027.0,27104.0,14531.0
,,,,,,,,270,16311.0,25448.0,17967.0,26892.0,31658.0,16659.0
,,,,,,,,271,18233.0,28459.0,19569.0,29372.0,37684.0,18217.0
,,,,,,,,272,20610.0,32170.0,20262.0,31285.0,40962.0,18392.0
,,,,,,,,273,21144.0,32996.0,20259.0,32139.0,40005.0,18112.0
,,,,,,,,274,21450.0,33463.0,20183.0,32800.0,38071.0,18657.0
,,,,,,,,275,22518.0,35125.0,20676.0,34523.0,38682.0,19697.0
,,,,,,,,276,23675.0,36931.0,21315.0,36783.0,39481.0,20501.0
,,,,,,,,277,24458.0,38156.0,21671.0,38105.0,39915.0,20696.0
,,,,,,,,278,24840.0,38753.0,21619.0,38379.0,39909.0,21062.0
,,,,,,,,279,21805.0,33989.0,22355.0,40381.0,40077.0,23726.0
,,,,,,,,280,24372.0,38008.0,24569.0,44309.0,45001.0,26460.0
,,,,,,,,281,25810.0,40261.0,26799.0,46690.0,50919.0,28678.0
,,,,,,,,282,26675.0,41628.0,27119.0,45931.0,55252.0,24518.0
,,,,,,,,283,23236.0,36261.0,23977.0,41135.0,48770.0,19228.0
,,,,,,,,284,20338.0,31732.0,20752.0,35461.0,40515.0,18081.0
,,,,,,,,285,19620.0,30613.0,18657.0,32673.0,36930.0,16479.0
,,,,,,,,286,16111.0,25124.0,16742.0,28601.0,32647.0,14511.0
,,,,,,,,287,15812.0,24666.0,14947.0,25895.0,28922.0,13669.0
,,,,,,,,288,12749.0,19870.0,14299.0,25039.0,26415.0,12707.0
