Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,181,0.0,57078.0,3770.0
,,,,,,,,182,0.0,57006.0,3833.0
,,,,,,,,183,0.0,55970.0,3805.0
,,,,,,,,184,0.0,54383.0,3731.0
,,,,,,,,185,0.0,54890.0,3701.0
,,,,,,,,186,0.0,53166.0,3622.0
,,,,,,,,187,0.0,49981.0,3476.0
,,,,,,,,188,0.0,45931.0,3280.0
,,,,,,,,189,0.0,41373.0,3076.0
,,,,,,,,190,0.0,37985.0,2946.0
,,,,,,,,191,0.0,35938.0,2852.0
,,,,,,,,192,0.0,34583.0,2799.0
,,,,,,,,193,0.0,33960.0,2774.0
,,,,,,,,194,0.0,34228.0,2782.0
,,,,,,,,195,0.0,36513.0,2837.0
,,,,,,,,196,0.0,41117.0,3028.0
,,,,,,,,197,0.0,42932.0,3165.0
,,,,,,,,198,0.0,42810.0,3156.0
,,,,,,,,199,0.0,44714.0,3222.0
,,,,,,,,200,0.0,47343.0,3338.0
,,,,,,,,201,0.0,49806.0,3428.0
,,,,,,,,202,0.0,51947.0,3507.0
,,,,,,,,203,0.0,53884.0,3628.0
,,,,,,,,204,0.0,55440.0,3725.0
,,,,,,,,205,0.0,56653.0,3819.0
,,,,,,,,206,0.0,57405.0,3896.0
,,,,,,,,207,0.0,56471.0,3856.0
,,,,,,,,208,0.0,54462.0,3750.0
,,,,,,,,209,0.0,54764.0,3714.0
,,,,,,,,210,0.0,53249.0,3645.0
,,,,,,,,211,0.0,50312.0,3498.0
,,,,,,,,212,0.0,45869.0,3295.0
,,,,,,,,213,0.0,41150.0,3085.0
,,,,,,,,214,0.0,37744.0,2942.0
,,,,,,,,215,0.0,35481.0,2854.0
,,,,,,,,216,0.0,34119.0,2806.0
,,,,,,,,217,0.0,33369.0,2772.0
,,,,,,,,218,0.0,33619.0,2784.0
,,,,,,,,219,0.0,35753.0,2864.0
,,,,,,,,220,0.0,40336.0,3068.0
,,,,,,,,221,0.0,42158.0,3212.0
,,,,,,,,222,0.0,41896.0,3202.0
,,,,,,,,223,0.0,43656.0,3245.0
,,,,,,,,224,0.0,46285.0,3334.0
,,,,,,,,225,0.0,48548.0,3429.0
,,,,,,,,226,0.0,50805.0,3508.0
,,,,,,,,227,0.0,53260.0,3612.0
,,,,,,,,228,0.0,55711.0,3737.0
,,,,,,,,229,0.0,57304.0,3851.0
,,,,,,,,230,0.0,57857.0,3918.0
,,,,,,,,231,0.0,56681.0,3871.0
,,,,,,,,232,0.0,54643.0,3749.0
,,,,,,,,233,0.0,54834.0,3748.0
,,,,,,,,234,0.0,53301.0,3682.0
,,,,,,,,235,0.0,50319.0,3535.0
,,,,,,,,236,0.0,46119.0,3341.0
,,,,,,,,237,0.0,41620.0,3135.0
,,,,,,,,238,0.0,38304.0,2975.0
,,,,,,,,239,0.0,36417.0,2881.0
